val_loss,epoch,step,train_loss
346.5704650878906,0,45,
,1,49,320.6339111328125
305.9515380859375,1,91,
,2,99,284.2892150878906
269.75201416015625,2,137,
,3,149,222.67161560058594
247.97779846191406,3,183,
,4,199,208.1461181640625
210.9534454345703,4,229,
,5,249,166.44876098632812
175.51597595214844,5,275,
,6,299,198.73529052734375
157.64892578125,6,321,
,7,349,131.83811950683594
139.04718017578125,7,367,
,8,399,116.24954223632812
124.60784149169922,8,413,
,9,449,103.67831420898438
114.31101989746094,9,459,
