val_loss,epoch,step,train_loss
0.08916456997394562,0,15,
0.06359221786260605,1,31,
0.05198683962225914,2,47,
,3,49,0.04540247842669487
0.043329302221536636,3,63,
0.03727544844150543,4,79,
0.031033359467983246,5,95,
,6,99,0.022333141416311264
0.025759151205420494,6,111,
0.02230721339583397,7,127,
0.020513908937573433,8,143,
,9,149,0.012798713520169258
0.017756901681423187,9,159,
0.0167391337454319,10,175,
0.01516586635261774,11,191,
,12,199,0.0078196469694376
0.014064562506973743,12,207,
0.0132973100990057,13,223,
0.013224193826317787,14,239,
,15,249,0.006559288129210472
0.012442301027476788,15,255,
0.012003698386251926,16,271,
0.011765815317630768,17,287,
,18,299,0.005455398466438055
0.011097786016762257,18,303,
0.010756907984614372,19,319,
